SWK,NAMA_TPS,INPUT,ANGKUT,DIOLAH,SISA,rasio_angkut,rasio_diolah,rasio_sisa,indeks_jarak,WBI,LABEL
KAREES,TPS PT DELAMI,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.6484,0.237,AMAN
KORDOBA,TIKUM CIJAURA 01 & 02 ,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.6374,0.2333,AMAN
BOJONEGARA,TPS GUNUNG BATU TIMUR,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.6374,0.2333,AMAN
BOJONEGARA,TPS GUNUNG BATU BARAT,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.6374,0.2333,AMAN
BOJONEGARA,TIKUM SUKAGALIH RW 01,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.6374,0.2333,AMAN
KORDOBA,TIKUM SEKELIMUS 06,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.6374,0.2333,AMAN
KORDOBA,TIKUM KORDON,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.6374,0.2333,AMAN
KORDOBA,TIKUM SEKELIMUS 08,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.6264,0.2296,AMAN
KORDOBA,TIKUM SEKELIMUS 07,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.6264,0.2296,AMAN
BOJONEGARA,TIKUM BABAKAN JERUK,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.6154,0.226,AMAN
TEGALEGA,TPS PASAR ASTANA ANYAR,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.6154,0.226,AMAN
TEGALEGA,TPS PASAR LEUWIPANJANG,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.6154,0.226,AMAN
BOJONEGARA,TIKUM SARIJADI RW 01,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.6154,0.226,AMAN
BOJONEGARA,TIKUM BUDI,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.6154,0.226,AMAN
CIBEUNYING,TPS PANORAMA,7.0,7.0,2.0,0.0,1.0,0.2857,0.0,0.6154,0.226,AMAN
TEGALEGA,TIKUM CIBOLERANG RW 6 & 7,1.7,1.7143,0.0,0.0,1.0084,0.0,0.0,0.6154,0.2233,AMAN
TEGALEGA,TIKUM KOMPLEK MUARA,1.7,1.7,0.0,0.0,1.0,0.0,0.0,0.6044,0.2223,AMAN
CIBEUNYING,TIKUM SUKALUYU RW 11,7.0,7.0,2.0,0.0,1.0,0.2857,0.0,0.6044,0.2223,AMAN
TEGALEGA,TIKUM CIKUNGKURAK,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.6044,0.2223,AMAN
TEGALEGA,TIKUM CIGONDEWAH KALER RW 13,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.6044,0.2223,AMAN
BOJONEGARA,TIKUM CICENDO,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.5934,0.2186,AMAN
BOJONEGARA,TIKUM RAJAWALI ASEM,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.5934,0.2186,AMAN
BOJONEGARA,TIKUM GOR PADJAJARAN,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.5934,0.2186,AMAN
CIBEUNYING,TIKUM SUKALUYU,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.5934,0.2186,AMAN
CIBEUNYING,TPS TAMAN CIBEUNYING,28.0,28.0,0.0,0.0,1.0,0.0,0.0,0.5824,0.215,AMAN
TEGALEGA,TIKUM CIGONDEWAH KALER RW 12 ,1.7,1.7,0.0,0.0,1.0,0.0,0.0,0.5824,0.215,AMAN
CIBEUNYING,TPS DENMA TNI,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.5824,0.215,AMAN
CIBEUNYING,TPS BALAI KESELAMATAN,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.5824,0.215,AMAN
TEGALEGA,TIKUM BLOK SAWAH TAMAN HOLIS,1.7,1.7,0.0,0.0,1.0,0.0,0.0,0.5824,0.215,AMAN
BOJONEGARA,TIKUM DUNGUS CARIANG RW 11,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
CIBEUNYING,TPS SANGKURIANG ,14.0,14.0,2.0,0.0,1.0,0.1429,0.0,0.5714,0.2113,AMAN
BOJONEGARA,TPS INDUSTRI DALAM,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
BOJONEGARA,TIKUM PAMOYANAN/BALADEWA,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
TEGALEGA,TPS CIJERAH RW 1,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
TEGALEGA,TIKUM CIGONDEWAH KALER RW 10,0.9,0.9,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
TEGALEGA,TIKUM CIGONDEWAH KALER RW 11,0.9,0.9,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
TEGALEGA,TIKUM CIGONDEWAH KALER RW 6,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
TEGALEGA,TIKUM CIGONDEWAH KALER RW 7,0.9,0.9,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
TEGALEGA,TPS DIAN PERMAI,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.5714,0.2113,AMAN
TEGALEGA,TPS PASAR CIJERAH,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.5604,0.2076,AMAN
CIBEUNYING,TIKUM MONJU,14.0,14.0,2.0,0.0,1.0,0.1429,0.0,0.5385,0.2003,AMAN
